Target protein id,ACC,Sn,Sp,Precision,F1-score,AUC,MCC,Positive MSE,Positive R,Positive R P value,Positive sample count,target_protein_id,target_chembl_id,uniprot_id,target_pref_name,organism,target_class_l1,target_class_l2
tp0773,0.98,0.97,0.99,0.9897959183673468,0.9797979797979798,0.9979,0.9601920576192068,0.4636258970432467,0.889508404156471,4.160601046330325e-35,100,tp0773,CHEMBL1947;CHEMBL2111462,P10828;P10828,Thyroid hormone receptor beta-1;Thyroid hormone receptor,Homo sapiens;Homo sapiens,Transcription factor;Transcription factor,Nuclear receptor;Nuclear receptor
tp0250,0.99,0.99,0.99,0.99,0.99,0.9997,0.98,0.4668007312169806,0.8888545013677218,5.466013042104865e-35,100,tp0250,CHEMBL3969,Q9Y2D0,Carbonic anhydrase VB,Homo sapiens,Enzyme,Lyase
tp0207,0.95,0.9,1.0,1.0,0.9473684210526316,0.9861,0.9045340337332908,0.6893900574460757,0.8849469246345957,2.6963596285623797e-34,100,tp0207,CHEMBL210,P07550,Beta-2 adrenergic receptor,Homo sapiens,Membrane receptor,Family A G protein-coupled receptor
tp0257,0.985,1.0,0.97,0.970873786407767,0.9852216748768472,1.0,0.9704367948586524,0.3870557880838436,0.8833375713291605,5.1165573329339376e-34,100,tp0257,CHEMBL3912,Q8N1Q1,Carbonic anhydrase XIII,Homo sapiens,Enzyme,Lyase
tp0379,0.945,0.92,0.97,0.968421052631579,0.9435897435897436,0.9947,0.8911145902927308,0.3535835267460419,0.8827912206734779,6.3458940054381215e-34,100,tp0379,CHEMBL1781,P11387,DNA topoisomerase I,Homo sapiens,Enzyme,Isomerase
tp0003,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6170024350124241,0.8783365446118826,3.5320358580682746e-33,100,tp0003,CHEMBL243,Q72874,Human immunodeficiency virus type 1 protease,Human immunodeficiency virus 1,Enzyme,Protease
tp0467,0.96,0.92,1.0,1.0,0.9583333333333334,0.9904,0.9229582069908971,0.5895756057654372,0.8721678823421329,3.415992854925562e-32,100,tp0467,CHEMBL4644,P41968,Melanocortin receptor 3,Homo sapiens,Membrane receptor,Family A G protein-coupled receptor
tp0235,0.99,0.98,1.0,1.0,0.98989898989899,0.9961,0.9801960588196068,0.3945529364327359,0.870980839910469,5.215466357443351e-32,100,tp0235,CHEMBL4691,Q96RI0,Proteinase activated receptor 4,Homo sapiens,Membrane receptor,Family A G protein-coupled receptor
tp0174,0.98,0.96,1.0,1.0,0.979591836734694,0.988,0.9607689228305228,0.6499513401682586,0.8696641441493769,8.299023554582078e-32,100,tp0174,CHEMBL211,P08172,Muscarinic acetylcholine receptor M2,Homo sapiens,Membrane receptor,Family A G protein-coupled receptor
tp0633,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6988533190170889,0.8668366504169854,2.2126714604570912e-31,100,tp0633,CHEMBL3798;CHEMBL2107838,Q16602;Q16602,"Calcitonin gene-related peptide type 1 receptor;Calcitonin-gene-related peptide receptor, CALCRL/RAMP1",Homo sapiens;Homo sapiens,Membrane receptor;Membrane receptor|Other membrane protein,Family B G protein-coupled receptor;Family B G protein-coupled receptor
tp0228,0.985,0.97,1.0,1.0,0.9847715736040608,0.9966,0.9704367948586524,0.5769320224770396,0.8659058583464508,3.040800728112651e-31,100,tp0228,CHEMBL280,P45452,Matrix metalloproteinase 13,Homo sapiens,Enzyme,Protease
tp0743,0.96,1.0,0.92,0.925925925925926,0.9615384615384616,0.9912,0.9229582069908971,0.4984051028370529,0.8654850095134405,3.5081359970457876e-31,100,tp0743,CHEMBL3028,Q96KS0,Hypoxia-inducible factor prolyl hydroxylase 1,Homo sapiens,Enzyme,Oxidoreductase
tp0299,0.99,0.98,1.0,1.0,0.98989898989899,0.9901,0.9801960588196068,0.5584043624955364,0.8639901994588044,5.8066412513260105e-31,100,tp0299,CHEMBL3706,P78536,ADAM17,Homo sapiens,Enzyme,Protease
tp0213,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7012419580771159,0.8631677387425631,7.642450585866729e-31,100,tp0213,CHEMBL6135,B4URF0,Neuraminidase,Influenza A virus,Enzyme,Hydrolase
tp0768,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4830343509541815,0.8626206022038615,9.16584969884404e-31,100,tp0768,CHEMBL1860,P10827,Thyroid hormone receptor alpha,Homo sapiens,Transcription factor,Nuclear receptor
tp0238,0.985,0.98,0.99,0.98989898989899,0.984924623115578,0.9993,0.9700485036378032,0.6273793515655686,0.8623660737436013,9.97194717118196e-31,100,tp0238,CHEMBL264,Q9Y5N1,Histamine H3 receptor,Homo sapiens,Membrane receptor,Family A G protein-coupled receptor
tp0615,0.995,0.99,1.0,1.0,0.9949748743718592,0.9999,0.9900495037128092,0.7248300246085887,0.8605260276639516,1.8250011129700863e-30,100,tp0615,CHEMBL2820,P03951,Coagulation factor XI,Homo sapiens,Enzyme,Protease
tp0685,0.9611650485436892,0.9361702127659576,0.9821428571428572,0.9777777777777776,0.9565217391304348,0.996580547112462,0.9221752332978232,1.0232326359434911,0.85985562429258,9.920413402835084e-15,47,tp0685,CHEMBL2473,P49768,Presenilin 1,Homo sapiens,Ion channel,Other ion channel
tp0073,0.985,0.97,1.0,1.0,0.9847715736040608,0.9979,0.9704367948586524,0.8023815274001429,0.8596908247813703,2.3942568783928604e-30,100,tp0073,CHEMBL252;CHEMBL2096678,P25101;P25101,"Endothelin receptor ET-A;Endothelin receptor, ET-A/ET-B",Homo sapiens;Homo sapiens,Membrane receptor;Membrane receptor,Family A G protein-coupled receptor;Family A G protein-coupled receptor
tp0252,0.995,0.99,1.0,1.0,0.9949748743718592,0.9997,0.9900495037128092,0.642978749531865,0.8596144680015565,2.4542130675260742e-30,100,tp0252,CHEMBL3510,Q9ULX7,Carbonic anhydrase XIV,Homo sapiens,Enzyme,Lyase
tp0081,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4216184044654508,0.8587679597970839,3.2253193132013024e-30,100,tp0081,CHEMBL5936,Q9NYK1,Toll-like receptor 7,Homo sapiens,Membrane receptor,Toll-like and Il-1 receptors
tp0089,0.995,1.0,0.99,0.99009900990099,0.9950248756218906,0.9999,0.9900495037128092,0.602746178168082,0.8569631797285728,5.741240012601476e-30,100,tp0089,CHEMBL2094108;CHEMBL272,P49356;P49356,Protein farnesyltransferase;Protein farnesyltransferase beta subunit,Homo sapiens;Homo sapiens,Enzyme;Enzyme,Transferase;Transferase
tp0173,0.97,0.94,1.0,1.0,0.9690721649484536,0.9934,0.9416965821485116,0.659559272889408,0.8563033239283686,7.074780991609623e-30,100,tp0173,CHEMBL245,P20309,Muscarinic acetylcholine receptor M3,Homo sapiens,Membrane receptor,Family A G protein-coupled receptor
tp0298,0.98,0.96,1.0,1.0,0.979591836734694,0.9859,0.9607689228305228,0.436180783992638,0.8515573181738273,3.083726339994593e-29,100,tp0298,CHEMBL3869,P50281,Matrix metalloproteinase 14,Homo sapiens,Enzyme,Protease
tp0166,0.995,0.99,1.0,1.0,0.9949748743718592,1.0,0.9900495037128092,0.6984280618251978,0.851445630259679,3.1904568720536745e-29,100,tp0166,CHEMBL321,P14780,Matrix metalloproteinase 9,Homo sapiens,Enzyme,Protease
tp0206,0.95,0.91,0.99,0.9891304347826086,0.9479166666666666,0.989,0.9028938981432688,0.7443268912500761,0.8507717018349664,3.915271898260651e-29,100,tp0206,CHEMBL246;CHEMBL2094118;CHEMBL2331074,P13945;P13945;P13945,Beta-3 adrenergic receptor;Adrenergic receptor beta;Adrenergic receptor,Homo sapiens;Homo sapiens;Homo sapiens,Membrane receptor;Membrane receptor;Membrane receptor,Family A G protein-coupled receptor;Family A G protein-coupled receptor;Family A G protein-coupled receptor
tp0849,0.95,0.91,0.99,0.9891304347826086,0.9479166666666666,0.9922,0.9028938981432688,0.4068512061978191,0.8495787516231523,5.611458516940466e-29,100,tp0849,CHEMBL1849,P9WGR1,Enoyl-[acyl-carrier-protein] reductase,Mycobacterium tuberculosis,Enzyme,Oxidoreductase
tp0093,0.94,0.88,1.0,1.0,0.9361702127659576,0.9788,0.8864052604279183,0.69345764064829,0.8490773019145929,6.521960657507962e-29,100,tp0093,CHEMBL237,P41145,Kappa opioid receptor,Homo sapiens,Membrane receptor,Family A G protein-coupled receptor
tp0410,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5952179137243455,0.8486298684067971,7.4549825674421e-29,100,tp0410,CHEMBL1907599;CHEMBL278,P13612;P13612,Integrin alpha-4/beta-1;Integrin alpha-4,Homo sapiens;Homo sapiens,Membrane receptor;Membrane receptor,
tp0372,0.995,0.99,1.0,1.0,0.9949748743718592,1.0,0.9900495037128092,0.673713071200063,0.847996613574204,9.001434489999441e-29,100,tp0372,CHEMBL1856,P31213,Steroid 5-alpha-reductase 2,Homo sapiens,Enzyme,Oxidoreductase
tp0023,0.985,0.97,1.0,1.0,0.9847715736040608,0.9991,0.9704367948586524,0.5389687803609702,0.8445516620054477,2.473046620351205e-28,100,tp0023,CHEMBL234,P35462,Dopamine D3 receptor,Homo sapiens,Membrane receptor,Family A G protein-coupled receptor
tp0630,0.985,0.97,1.0,1.0,0.9847715736040608,1.0,0.9704367948586524,0.5694304707067088,0.8437551301038854,3.113177004800197e-28,100,tp0630,CHEMBL4465,O75908,Acyl coenzyme A:cholesterol acyltransferase 2,Homo sapiens,Enzyme,Transferase
tp0141,0.935,0.87,1.0,1.0,0.93048128342246,0.9921,0.8774460122564686,0.6688757813984116,0.8432446758714442,3.605596390120576e-28,100,tp0141,CHEMBL284,P27487,Dipeptidyl peptidase IV,Homo sapiens,Enzyme,Protease
tp0449,0.95,0.9,1.0,1.0,0.9473684210526316,0.9934,0.9045340337332908,0.8176046020665411,0.8426148531781156,4.318677374894449e-28,100,tp0449,CHEMBL275,Q07343,Phosphodiesterase 4B,Homo sapiens,Enzyme,Phosphodiesterase
tp0176,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6613270261864684,0.8422384776168151,4.808638349525804e-28,100,tp0176,CHEMBL1628481,P35414,Apelin receptor,Homo sapiens,Membrane receptor,Family A G protein-coupled receptor
tp0745,0.965,0.94,0.99,0.9894736842105264,0.964102564102564,0.997,0.9311646842384714,0.5490913859909389,0.839736461831459,9.754504221421146e-28,100,tp0745,CHEMBL3514,Q13093,LDL-associated phospholipase A2,Homo sapiens,Enzyme,Hydrolase
tp0438,0.995,0.99,1.0,1.0,0.9949748743718592,1.0,0.9900495037128092,0.7748524904271161,0.8388813887371981,1.2387409783202926e-27,100,tp0438,CHEMBL3795,Q01726,Melanocortin receptor 1,Homo sapiens,Membrane receptor,Family A G protein-coupled receptor
tp0307,0.985,0.97,1.0,1.0,0.9847715736040608,0.9999,0.9704367948586524,0.5797965077228434,0.8388249176861574,1.2583827458518602e-27,100,tp0307,CHEMBL4191,Q99685,Monoglyceride lipase,Homo sapiens,Enzyme,Hydrolase
tp0078,0.99,0.98,1.0,1.0,0.98989898989899,0.9997,0.9801960588196068,0.4899487167600969,0.8383336654047154,1.44257034919362e-27,100,tp0078,CHEMBL228,P31645,Serotonin transporter,Homo sapiens,Transporter,Electrochemical transporter
tp0391,0.99,0.98,1.0,1.0,0.98989898989899,0.9974,0.9801960588196068,0.5762731801550455,0.8370823219678626,2.038729441941704e-27,100,tp0391,CHEMBL325,Q13547,Histone deacetylase 1,Homo sapiens,Epigenetic regulator,Eraser
tp0712,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5712704197090277,0.8358357575443723,2.869136572011984e-27,100,tp0712,CHEMBL402,P04035,HMG-CoA reductase,Homo sapiens,Enzyme,Oxidoreductase
tp0594,0.985,0.98,0.99,0.98989898989899,0.984924623115578,0.9993,0.9700485036378032,0.7499745300113224,0.8356873892130795,2.9876545864288656e-27,100,tp0594,CHEMBL1801,P00747,Plasminogen,Homo sapiens,Enzyme,Protease
tp0369,0.965,0.93,1.0,1.0,0.9637305699481864,0.9966,0.932286907826487,0.8268059582767939,0.8350345328966101,3.568417852681636e-27,100,tp0369,CHEMBL3157,P30411,Bradykinin B2 receptor,Homo sapiens,Membrane receptor,Family A G protein-coupled receptor
tp0068,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5318649802894352,0.832663736834437,6.758007236732464e-27,100,tp0068,CHEMBL283,P08254,Matrix metalloproteinase 3,Homo sapiens,Enzyme,Protease
tp0255,0.985,0.97,1.0,1.0,0.9847715736040608,0.9992,0.9704367948586524,0.4756717052473254,0.8318688008299745,8.3530119835536e-27,100,tp0255,CHEMBL3145,P42338,PI3-kinase p110-beta subunit,Homo sapiens,Enzyme,Transferase
tp0658,0.98,0.98,0.98,0.98,0.98,0.9972,0.96,0.5727175444525741,0.8318505581613803,8.393619793360714e-27,100,tp0658,CHEMBL250,P25105,Platelet activating factor receptor,Homo sapiens,Membrane receptor,Family A G protein-coupled receptor
tp0084,0.965,0.95,0.98,0.979381443298969,0.964467005076142,0.9936,0.9304187826995326,0.771497905081571,0.8313949135246128,9.472694647514994e-27,100,tp0084,CHEMBL204,P00734,Thrombin,Homo sapiens,Enzyme,Protease
tp0432,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5824152356013202,0.8312791298727797,9.767770839620932e-27,100,tp0432,CHEMBL1921;CHEMBL2111456,P47901;P47901,Vasopressin V1b receptor;Vasopressin V1 receptor,Homo sapiens;Homo sapiens,Membrane receptor;Membrane receptor,Family A G protein-coupled receptor;Family A G protein-coupled receptor
tp0424,0.965,0.97,0.96,0.9603960396039604,0.965174129353234,0.9947,0.9300465034877906,0.5506281872007041,0.8308107887430031,1.1055523536224838e-26,100,tp0424,CHEMBL3864,Q06124,Protein-tyrosine phosphatase 2C,Homo sapiens,Enzyme,Phosphatase
tp0515,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6012135581095801,0.8287184581330103,1.9136662085917974e-26,100,tp0515,CHEMBL2095231,A3EZI9,"Hepatitis C virus serine protease, NS3/NS4A",Hepatitis C virus,Enzyme,Protease
tp0311,0.99,0.99,0.99,0.99,0.99,0.9994,0.98,0.4747453816287074,0.8284189328385698,2.068779237454588e-26,100,tp0311,CHEMBL2001,Q9H244,Purinergic receptor P2Y12,Homo sapiens,Membrane receptor,Family A G protein-coupled receptor
tp0701,0.995,1.0,0.99,0.99009900990099,0.9950248756218906,0.9999,0.9900495037128092,0.4177640199722887,0.8281305870994723,2.2296515809068683e-26,100,tp0701,CHEMBL2808,Q13133,LXR-alpha,Homo sapiens,Transcription factor,Nuclear receptor
tp0009,0.985,0.99,0.98,0.9801980198019802,0.9850746268656716,0.9991,0.9700485036378032,0.7455484020853271,0.828041166787171,2.2819732529061195e-26,100,tp0009,CHEMBL208,P06401,Progesterone receptor,Homo sapiens,Transcription factor,Nuclear receptor
tp0092,0.96,0.94,0.98,0.9791666666666666,0.9591836734693876,0.9942,0.9207368843792508,0.5788264680165744,0.827826754711163,2.4123553839151726e-26,100,tp0092,CHEMBL236,P41143,Delta opioid receptor,Homo sapiens,Membrane receptor,Family A G protein-coupled receptor
tp0012,0.985,0.97,1.0,1.0,0.9847715736040608,1.0,0.9704367948586524,0.8042892837606569,0.8273191076476687,2.7506878444459736e-26,100,tp0012,CHEMBL2327,P21452,Neurokinin 2 receptor,Homo sapiens,Membrane receptor,Family A G protein-coupled receptor
tp0787,0.965,0.96,0.97,0.9696969696969696,0.964824120603015,0.9938,0.9300465034877906,0.6784062331820249,0.827130881408252,2.8875445766471113e-26,100,tp0787,CHEMBL1795116,O14744,Protein arginine N-methyltransferase 5,Homo sapiens,Epigenetic regulator,Writer
tp0413,0.99,0.98,1.0,1.0,0.98989898989899,0.9991,0.9801960588196068,0.5150836994203469,0.8268071669079944,3.138597840033577e-26,100,tp0413,CHEMBL2094135;CHEMBL3708,P49810;P49810,Gamma-secretase;Presenilin 2,Homo sapiens;Homo sapiens,Enzyme|Ion channel;Ion channel,Other ion channel|Protease;Other ion channel
tp0485,0.995,1.0,0.99,0.99009900990099,0.9950248756218906,1.0,0.9900495037128092,0.5320275171252804,0.8254735766581094,4.4168061297802615e-26,100,tp0485,CHEMBL4429,P29371,Neurokinin 3 receptor,Homo sapiens,Membrane receptor,Family A G protein-coupled receptor
tp0013,0.995,0.99,1.0,1.0,0.9949748743718592,1.0,0.9900495037128092,0.6853179547729734,0.8250505177701916,4.9194253992874206e-26,100,tp0013,CHEMBL249,P25103,Neurokinin 1 receptor,Homo sapiens,Membrane receptor,Family A G protein-coupled receptor
tp0179,0.95,0.9,1.0,1.0,0.9473684210526316,0.9928,0.9045340337332908,1.1859297062228418,0.8248678913718904,5.1532455749279e-26,100,tp0179,CHEMBL1901;CHEMBL2095185,P32238;P32238,Cholecystokinin A receptor;Cholecystokinin receptor,Homo sapiens;Homo sapiens,Membrane receptor;Membrane receptor,Family A G protein-coupled receptor;Family A G protein-coupled receptor
tp0150,0.995,0.99,1.0,1.0,0.9949748743718592,0.997,0.9900495037128092,0.5321694282910615,0.8247511337143136,5.30837425207946e-26,100,tp0150,CHEMBL1902,P62942,FK506-binding protein 1A,Homo sapiens,Enzyme,Isomerase
tp0219,0.99,1.0,0.98,0.9803921568627452,0.99009900990099,0.9997,0.9801960588196068,0.413641632146309,0.8245417340871052,5.598073958741595e-26,100,tp0219,CHEMBL1929,P47989,Xanthine dehydrogenase,Homo sapiens,Enzyme,Oxidoreductase
tp0393,0.98,0.96,1.0,1.0,0.979591836734694,0.9951,0.9607689228305228,0.5256476797373818,0.8244756391132152,5.692674415340176e-26,100,tp0393,CHEMBL3979;CHEMBL3559683,Q03181;Q03181,Peroxisome proliferator-activated receptor delta;Peroxisome proliferator-activated receptor,Homo sapiens;Homo sapiens,Transcription factor;Transcription factor,Nuclear receptor;Nuclear receptor
tp0525,0.975,1.0,0.95,0.9523809523809524,0.975609756097561,1.0,0.9511897312113418,0.5108594882571922,0.8230781797020258,8.099939513350549e-26,100,tp0525,CHEMBL2004,P48443,Retinoid X receptor gamma,Homo sapiens,Transcription factor,Nuclear receptor
tp0187,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4875113849290863,0.822254105638913,9.958033652084104e-26,100,tp0187,CHEMBL1926,P16184,Dihydrofolate reductase,Pneumocystis carinii,Enzyme,Oxidoreductase
tp0406,0.99,0.98,1.0,1.0,0.98989898989899,0.9993,0.9801960588196068,0.4816779239581389,0.8221243244916631,1.0286242180071902e-25,100,tp0406,CHEMBL2716,Q8WUI4,Histone deacetylase 7,Homo sapiens,Epigenetic regulator,Eraser
tp0153,0.985,0.97,1.0,1.0,0.9847715736040608,0.9997,0.9704367948586524,0.5887042542215899,0.8220896728125221,1.0375643147880738e-25,100,tp0153,CHEMBL2094109;CHEMBL2035,P08912;P08912,Muscarinic acetylcholine receptor;Muscarinic acetylcholine receptor M5,Homo sapiens;Homo sapiens,Membrane receptor;Membrane receptor,Family A G protein-coupled receptor;Family A G protein-coupled receptor
tp0320,0.985,0.97,1.0,1.0,0.9847715736040608,0.9997,0.9704367948586524,0.9651857872239452,0.8205950814289691,1.5043395963977612e-25,100,tp0320,CHEMBL2049,P30559,Oxytocin receptor,Homo sapiens,Membrane receptor,Family A G protein-coupled receptor
tp0080,0.975,0.96,0.99,0.9896907216494846,0.9746192893401016,0.9902,0.9504277887790924,0.5437763071331115,0.8203082620368958,1.6148601086625367e-25,100,tp0080,CHEMBL6136,O60341,Lysine-specific histone demethylase 1,Homo sapiens,Epigenetic regulator,Eraser
tp0448,0.955,0.95,0.96,0.9595959595959596,0.9547738693467336,0.9947,0.9100455034127845,0.420675739071617,0.8200030398368827,1.741162601457121e-25,100,tp0448,CHEMBL1169598,P03433,Polymerase acidic protein,Influenza A virus (A/Puerto Rico/8/1934(H1N1)),Enzyme,Hydrolase
tp0134,0.99,1.0,0.98,0.9803921568627452,0.99009900990099,1.0,0.9801960588196068,0.6362172726731365,0.8190741766349274,2.187699542209763e-25,100,tp0134,CHEMBL1853,P31391,Somatostatin receptor 4,Homo sapiens,Membrane receptor,Family A G protein-coupled receptor
tp0328,0.995,0.99,1.0,1.0,0.9949748743718592,1.0,0.9900495037128092,0.518165628593086,0.8185263451245067,2.5014878478529363e-25,100,tp0328,CHEMBL3884,P31639,Sodium/glucose cotransporter 2,Homo sapiens,Transporter,Electrochemical transporter
tp0145,0.94,0.89,0.99,0.9888888888888888,0.936842105263158,0.9846,0.8844332774281066,0.6037397600989823,0.8184421713093599,2.553436426178041e-25,100,tp0145,CHEMBL218,P21554,Cannabinoid CB1 receptor,Homo sapiens,Membrane receptor,Family A G protein-coupled receptor
tp0199,0.955,0.95,0.96,0.9595959595959596,0.9547738693467336,0.9944,0.9100455034127845,0.5109977611947228,0.8181482238417233,2.74322904500987e-25,100,tp0199,CHEMBL1163125,O60885,Bromodomain-containing protein 4,Homo sapiens,Epigenetic regulator,Reader
tp0082,0.985,0.97,1.0,1.0,0.9847715736040608,0.9991,0.9704367948586524,0.688023795200275,0.8170569806304636,3.5757324548120064e-25,100,tp0082,CHEMBL244,P00742,Coagulation factor X,Homo sapiens,Enzyme,Protease
tp0388,0.995,0.99,1.0,1.0,0.9949748743718592,1.0,0.9900495037128092,0.4356781391254843,0.8146133429631761,6.432187543599035e-25,100,tp0388,CHEMBL1829,O15379,Histone deacetylase 3,Homo sapiens,Epigenetic regulator,Eraser
tp0692,0.93,0.92,0.94,0.9387755102040816,0.9292929292929292,0.9762,0.8601720516172061,0.5179259883554456,0.8135166650267489,8.347910334954852e-25,100,tp0692,CHEMBL1825,P01375,TNF-alpha,Homo sapiens,Secreted protein,
tp0191,0.97,0.94,1.0,1.0,0.9690721649484536,0.9984,0.9416965821485116,0.6318261371743992,0.8131073914044277,9.196860548807383e-25,100,tp0191,CHEMBL5366;CHEMBL3390820,Q9UGN5;Q9UGN5,"Poly [ADP-ribose] polymerase 2;PARP 1, 2 and 3",Homo sapiens;Homo sapiens,Enzyme;Enzyme,Transferase;Transferase
tp0208,0.965,0.94,0.99,0.9894736842105264,0.964102564102564,0.9989,0.9311646842384714,0.4664832316691049,0.8125837827326737,1.0406428001820379e-24,100,tp0208,CHEMBL4660,P28907,Lymphocyte differentiation antigen CD38,Homo sapiens,Enzyme,
tp0326,0.995,1.0,0.99,0.99009900990099,0.9950248756218906,1.0,0.9900495037128092,0.6278795240481557,0.812454652773572,1.0727777637150584e-24,100,tp0326,CHEMBL1809;CHEMBL2364669,P0ABQ4;P0ABQ4,Dihydrofolate reductase;Bacterial dihydrofolate reductase,Escherichia coli;Bacteria,Enzyme;Enzyme,Oxidoreductase;Oxidoreductase
tp0443,0.995,1.0,0.99,0.99009900990099,0.9950248756218906,1.0,0.9900495037128092,0.5393180504650955,0.8122977513382108,1.1131270725229908e-24,100,tp0443,CHEMBL4523,Q9P1W9,Serine/threonine-protein kinase PIM2,Homo sapiens,Enzyme,Kinase
tp0365,0.955,0.97,0.94,0.941747572815534,0.955665024630542,0.9976,0.9104097766199728,0.6101621253672284,0.8110543396911307,1.4896689003878328e-24,100,tp0365,CHEMBL2094125;CHEMBL290,Q13370;Q13370,Phosphodiesterase 3;Phosphodiesterase 3B,Homo sapiens;Homo sapiens,Enzyme;Enzyme,Phosphodiesterase;Phosphodiesterase
tp0296,0.985,0.97,1.0,1.0,0.9847715736040608,0.9994,0.9704367948586524,0.5381618752299073,0.8102159589425384,1.8108718439862333e-24,100,tp0296,CHEMBL3130,O00329,PI3-kinase p110-delta subunit,Homo sapiens,Enzyme,Transferase
tp0052,0.995,1.0,0.99,0.99009900990099,0.9950248756218906,0.9999,0.9900495037128092,0.4051703805550142,0.8096662956028783,2.057100518006357e-24,100,tp0052,CHEMBL255,P29275,Adenosine A2b receptor,Homo sapiens,Membrane receptor,Family A G protein-coupled receptor
tp0105,0.965,0.97,0.96,0.9603960396039604,0.965174129353234,0.9963,0.9300465034877906,0.6065458228586469,0.8094671477080505,2.15412779383834e-24,100,tp0105,CHEMBL3105,P09874,Poly [ADP-ribose] polymerase-1,Homo sapiens,Enzyme,Transferase
