Target protein id,ACC,Sn,Sp,Precision,F1-score,AUC,MCC,Positive MSE,Positive R,Positive R P value,Positive sample count,target_protein_id,target_chembl_id,uniprot_id,target_pref_name,organism,target_class_l1,target_class_l2
tp0199,0.955,0.95,0.96,0.9595959595959596,0.9547738693467336,0.9944,0.9100455034127845,0.5109977611947228,0.8181482238417233,2.74322904500987e-25,100,tp0199,CHEMBL1163125,O60885,Bromodomain-containing protein 4,Homo sapiens,Epigenetic regulator,Reader
tp0082,0.985,0.97,1.0,1.0,0.9847715736040608,0.9991,0.9704367948586524,0.688023795200275,0.8170569806304636,3.5757324548120064e-25,100,tp0082,CHEMBL244,P00742,Coagulation factor X,Homo sapiens,Enzyme,Protease
tp0388,0.995,0.99,1.0,1.0,0.9949748743718592,1.0,0.9900495037128092,0.4356781391254843,0.8146133429631761,6.432187543599035e-25,100,tp0388,CHEMBL1829,O15379,Histone deacetylase 3,Homo sapiens,Epigenetic regulator,Eraser
tp0692,0.93,0.92,0.94,0.9387755102040816,0.9292929292929292,0.9762,0.8601720516172061,0.5179259883554456,0.8135166650267489,8.347910334954852e-25,100,tp0692,CHEMBL1825,P01375,TNF-alpha,Homo sapiens,Secreted protein,
tp0191,0.97,0.94,1.0,1.0,0.9690721649484536,0.9984,0.9416965821485116,0.6318261371743992,0.8131073914044277,9.196860548807383e-25,100,tp0191,CHEMBL5366;CHEMBL3390820,Q9UGN5;Q9UGN5,"Poly [ADP-ribose] polymerase 2;PARP 1, 2 and 3",Homo sapiens;Homo sapiens,Enzyme;Enzyme,Transferase;Transferase
tp0208,0.965,0.94,0.99,0.9894736842105264,0.964102564102564,0.9989,0.9311646842384714,0.4664832316691049,0.8125837827326737,1.0406428001820379e-24,100,tp0208,CHEMBL4660,P28907,Lymphocyte differentiation antigen CD38,Homo sapiens,Enzyme,
tp0326,0.995,1.0,0.99,0.99009900990099,0.9950248756218906,1.0,0.9900495037128092,0.6278795240481557,0.812454652773572,1.0727777637150584e-24,100,tp0326,CHEMBL1809;CHEMBL2364669,P0ABQ4;P0ABQ4,Dihydrofolate reductase;Bacterial dihydrofolate reductase,Escherichia coli;Bacteria,Enzyme;Enzyme,Oxidoreductase;Oxidoreductase
tp0443,0.995,1.0,0.99,0.99009900990099,0.9950248756218906,1.0,0.9900495037128092,0.5393180504650955,0.8122977513382108,1.1131270725229908e-24,100,tp0443,CHEMBL4523,Q9P1W9,Serine/threonine-protein kinase PIM2,Homo sapiens,Enzyme,Kinase
tp0365,0.955,0.97,0.94,0.941747572815534,0.955665024630542,0.9976,0.9104097766199728,0.6101621253672284,0.8110543396911307,1.4896689003878328e-24,100,tp0365,CHEMBL2094125;CHEMBL290,Q13370;Q13370,Phosphodiesterase 3;Phosphodiesterase 3B,Homo sapiens;Homo sapiens,Enzyme;Enzyme,Phosphodiesterase;Phosphodiesterase
tp0296,0.985,0.97,1.0,1.0,0.9847715736040608,0.9994,0.9704367948586524,0.5381618752299073,0.8102159589425384,1.8108718439862333e-24,100,tp0296,CHEMBL3130,O00329,PI3-kinase p110-delta subunit,Homo sapiens,Enzyme,Transferase
tp0052,0.995,1.0,0.99,0.99009900990099,0.9950248756218906,0.9999,0.9900495037128092,0.4051703805550142,0.8096662956028783,2.057100518006357e-24,100,tp0052,CHEMBL255,P29275,Adenosine A2b receptor,Homo sapiens,Membrane receptor,Family A G protein-coupled receptor
tp0105,0.965,0.97,0.96,0.9603960396039604,0.965174129353234,0.9963,0.9300465034877906,0.6065458228586469,0.8094671477080505,2.15412779383834e-24,100,tp0105,CHEMBL3105,P09874,Poly [ADP-ribose] polymerase-1,Homo sapiens,Enzyme,Transferase
tp0183,0.96,0.95,0.97,0.9693877551020408,0.9595959595959596,0.9879,0.9201840552184064,0.5871904343820552,0.8088664120505651,2.4746177802152964e-24,100,tp0183,CHEMBL2093863;CHEMBL291,Q08493;Q08493,Phosphodiesterase 4;Phosphodiesterase 4C,Homo sapiens;Homo sapiens,Enzyme;Enzyme,Phosphodiesterase;Phosphodiesterase
tp0408,0.99,0.99,0.99,0.99,0.99,0.9998,0.98,0.767470412698531,0.8078001621173321,3.161553346498472e-24,100,tp0408,CHEMBL4588,P22894,Matrix metalloproteinase 8,Homo sapiens,Enzyme,Protease
tp0064,0.985,0.99,0.98,0.9801980198019802,0.9850746268656716,0.9993,0.9700485036378032,0.4354860462349659,0.8068726802512114,3.907581331057339e-24,100,tp0064,CHEMBL205,P00918,Carbonic anhydrase II,Homo sapiens,Enzyme,Lyase
tp0057,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5960887175362671,0.8067778823017415,3.992860199482324e-24,100,tp0057,CHEMBL1944,P08473,Neprilysin,Homo sapiens,Enzyme,Protease
tp0653,0.99,0.99,0.99,0.99,0.99,0.9969,0.98,0.4008664544674394,0.8062878885489054,4.4633915779511324e-24,100,tp0653,CHEMBL4093;CHEMBL3706564,P55055;P55055,LXR-beta;Liver X receptor,Homo sapiens;Homo sapiens,Transcription factor;Transcription factor,Nuclear receptor;Nuclear receptor
tp0095,0.955,0.91,1.0,1.0,0.9528795811518324,0.9871,0.9137080416200248,0.5681429121308024,0.8058817159127597,4.8940144354378875e-24,100,tp0095,CHEMBL213,P08588,Beta-1 adrenergic receptor,Homo sapiens,Membrane receptor,Family A G protein-coupled receptor
tp0304,0.995,0.99,1.0,1.0,0.9949748743718592,1.0,0.9900495037128092,0.7993783662304423,0.8052105760349125,5.69578525647481e-24,100,tp0304,CHEMBL1913,P09619,Platelet-derived growth factor receptor beta,Homo sapiens,Enzyme,Kinase
tp0246,0.985,0.98,0.99,0.98989898989899,0.984924623115578,0.999,0.9700485036378032,0.4154795430807948,0.8048087660571318,6.235604174355577e-24,100,tp0246,CHEMBL3025,P23280,Carbonic anhydrase VI,Homo sapiens,Enzyme,Lyase
tp0261,0.97,0.94,1.0,1.0,0.9690721649484536,0.9986,0.9416965821485116,0.5653493992060294,0.8042364101540846,7.091489050707814e-24,100,tp0261,CHEMBL4625,Q07817,Apoptosis regulator Bcl-X,Homo sapiens,Ion channel,Other ion channel
tp0077,0.995,0.99,1.0,1.0,0.9949748743718592,0.9979,0.9900495037128092,0.6416486865802485,0.8033379628223639,8.670631486881796e-24,100,tp0077,CHEMBL1821,P08173,Muscarinic acetylcholine receptor M4,Homo sapiens,Membrane receptor,Family A G protein-coupled receptor
tp0076,0.93,0.87,0.99,0.9886363636363636,0.925531914893617,0.9736,0.8662596863272839,0.7302284440388758,0.8029322409647723,9.491445987313781e-24,100,tp0076,CHEMBL216,P11229,Muscarinic acetylcholine receptor M1,Homo sapiens,Membrane receptor,Family A G protein-coupled receptor
